epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.63,1.7587,4.76808,1.20227,0.5902,0.03977,0.03723,0.02363,1.5721,3.41871,1.07747,0.00332826,0.00332826,0.00332826
2,331.165,1.79056,3.57466,1.23358,0.53525,0.07747,0.0655,0.048,1.5236,2.74441,1.1047,0.00666093,0.00666093,0.00666093
3,490.87,1.82889,3.14519,1.28277,0.54347,0.10838,0.10645,0.06906,1.68269,2.48812,1.18449,0.00999295,0.00999295,0.00999295
4,650.791,1.85025,2.97101,1.30742,0.53062,0.12764,0.11959,0.08387,1.56415,2.32078,1.14892,0.00999703,0.00999703,0.00999703
5,810.137,1.81476,2.75705,1.29376,0.49304,0.16126,0.14885,0.10611,1.58953,2.26005,1.16159,0.00999604,0.00999604,0.00999604
6,969.804,1.76228,2.57587,1.2758,0.41909,0.20801,0.16529,0.11355,1.62119,2.20173,1.18244,0.00999505,0.00999505,0.00999505
7,1128.78,1.73514,2.46233,1.26081,0.53766,0.20955,0.20245,0.14758,1.50145,1.97036,1.13059,0.00999406,0.00999406,0.00999406
8,1288.43,1.7223,2.4025,1.26686,0.53279,0.21397,0.2298,0.17294,1.48289,1.96676,1.14219,0.00999307,0.00999307,0.00999307
9,1447.87,1.68242,2.28563,1.24931,0.54808,0.20462,0.24704,0.18264,1.49474,1.82138,1.15241,0.00999208,0.00999208,0.00999208
10,1606.63,1.67377,2.22674,1.23164,0.56554,0.23738,0.26041,0.19333,1.42387,1.8843,1.11453,0.00999109,0.00999109,0.00999109
11,1765.64,1.63544,2.14448,1.22214,0.4414,0.25483,0.26237,0.19607,1.42846,1.79106,1.11106,0.0099901,0.0099901,0.0099901
12,1925.4,1.62729,2.07741,1.22841,0.50916,0.24162,0.27648,0.21089,1.41858,1.76403,1.12235,0.00998911,0.00998911,0.00998911
13,2084.25,1.61245,2.05097,1.22505,0.55552,0.24688,0.28334,0.21393,1.37249,1.81434,1.09249,0.00998812,0.00998812,0.00998812
14,2243.1,1.5931,1.96514,1.20651,0.57633,0.25171,0.29511,0.21942,1.39836,1.63877,1.09458,0.00998713,0.00998713,0.00998713
15,2402.53,1.56648,1.9247,1.20388,0.46987,0.3017,0.31286,0.23641,1.41043,1.61692,1.10547,0.00998614,0.00998614,0.00998614
16,2561.65,1.57069,1.90243,1.19921,0.62144,0.26881,0.30882,0.23219,1.39715,1.69703,1.09898,0.00998515,0.00998515,0.00998515
17,2721.29,1.55207,1.84388,1.18333,0.43835,0.31132,0.31705,0.2358,1.36541,1.66457,1.09213,0.00998416,0.00998416,0.00998416
18,2879.53,1.53799,1.81654,1.19081,0.51533,0.30136,0.32402,0.24738,1.34757,1.67833,1.08348,0.00998317,0.00998317,0.00998317
19,3038.71,1.54426,1.79174,1.1804,0.53588,0.31932,0.33485,0.25634,1.3576,1.61075,1.0792,0.00998218,0.00998218,0.00998218
20,3202.12,1.51437,1.75638,1.17821,0.46975,0.33179,0.32048,0.23836,1.37831,1.70715,1.09671,0.00998119,0.00998119,0.00998119
21,3373.31,1.50702,1.72967,1.16934,0.50797,0.33126,0.33482,0.2549,1.30501,1.56535,1.0715,0.0099802,0.0099802,0.0099802
22,3532.76,1.51286,1.70495,1.16567,0.51373,0.32081,0.33438,0.25475,1.31931,1.59217,1.07177,0.00997921,0.00997921,0.00997921
23,3692.57,1.51576,1.69142,1.17748,0.47345,0.32978,0.3319,0.25004,1.31078,1.56041,1.06097,0.00997822,0.00997822,0.00997822
24,3851.25,1.48292,1.65281,1.16046,0.51609,0.31932,0.33906,0.25613,1.31917,1.68498,1.06176,0.00997723,0.00997723,0.00997723
25,4010.82,1.49418,1.63705,1.15711,0.48105,0.33002,0.33669,0.25333,1.30555,1.56366,1.05986,0.00997624,0.00997624,0.00997624
26,4170.31,1.47157,1.62016,1.1484,0.56511,0.31168,0.3541,0.27458,1.33681,1.53242,1.07978,0.00997525,0.00997525,0.00997525
27,4329.12,1.46155,1.58766,1.1456,0.49768,0.31803,0.34791,0.26733,1.30104,1.54855,1.06288,0.00997426,0.00997426,0.00997426
28,4488.24,1.45553,1.56092,1.15017,0.55262,0.33721,0.35735,0.27223,1.30134,1.5274,1.06167,0.00997327,0.00997327,0.00997327
29,4647.81,1.47712,1.57296,1.14392,0.60787,0.31445,0.35588,0.27099,1.31517,1.49982,1.07884,0.00997228,0.00997228,0.00997228
30,4807.22,1.44504,1.52349,1.13774,0.5562,0.32804,0.37087,0.28462,1.31055,1.50112,1.06614,0.00997129,0.00997129,0.00997129
31,4966.84,1.42927,1.48563,1.13142,0.51184,0.35864,0.36343,0.28025,1.30702,1.49834,1.0485,0.0099703,0.0099703,0.0099703
32,5126.41,1.43044,1.50094,1.13939,0.55404,0.36075,0.37876,0.28011,1.2913,1.47345,1.0656,0.00996931,0.00996931,0.00996931
33,5285.96,1.4287,1.47291,1.12917,0.55103,0.36788,0.37467,0.28494,1.30375,1.45259,1.06037,0.00996832,0.00996832,0.00996832
34,5445.39,1.43531,1.46632,1.12995,0.59522,0.34092,0.3724,0.28556,1.29335,1.40263,1.06545,0.00996733,0.00996733,0.00996733
35,5604.87,1.42204,1.45524,1.12418,0.56593,0.31279,0.36472,0.28503,1.27604,1.43925,1.04741,0.00996634,0.00996634,0.00996634
